topic,asset,signal,window,mean,p,n,p_fdr,p_fdr_trim
iran_military,NVDA,vpin_z,post,-0.028259913390715548,0.7644,242,0.804384,0.8259867298578198
iran_military,MSFT,logret,pre,-7.92351713744454e-05,7.324432002610515e-05,240,0.00017867016725340914,0.00043488815015499936
iran_military,MSFT,logret,post,-0.0001570101195428513,0.0524,240,0.07704557179707652,0.10056565656565657
iran_military,MSFT,vol_z,pre,-0.13741494839492552,0.0008,240,0.001624703087885986,0.002923076923076923
iran_military,MSFT,vol_z,post,-0.06897240338384296,0.176,240,0.22956521739130434,0.27076923076923076
iran_military,MSFT,dvol_z,pre,-0.1387668291382495,0.0004,240,0.0008571428571428572,0.0016703296703296704
iran_military,MSFT,dvol_z,post,-0.07150978514961101,0.166,240,0.21852193995381064,0.2595020519835841
iran_military,MSFT,signed_vol_tick,pre,-380539.725,0.0016,240,0.0030915254237288137,0.005317784256559767
iran_military,MSFT,signed_vol_tick,post,-438024.3375,0.0036,240,0.006647948164146868,0.010914893617021276
iran_military,MSFT,OFI_bvc,pre,-0.017862068092107754,0.006,240,0.010599173553719008,0.016764705882352942
iran_military,MSFT,OFI_bvc,post,-0.008984728048097607,0.1696,240,0.22189441469013008,0.26233921302578017
iran_military,MSFT,vpin_z,pre,-0.21253536811124363,0.0004,240,0.0008571428571428572,0.0016703296703296704
iran_military,MSFT,vpin_z,post,0.13718628678716097,0.136,240,0.18355169692186268,0.22243902439024393
iran_military,AAPL,logret,pre,7.456975128380756e-05,0.002,241,0.003825503355704698,0.006514285714285715
iran_military,AAPL,logret,post,-9.601197593219274e-05,0.0284,241,0.043516129032258065,0.05908029197080293
iran_military,AAPL,vol_z,pre,-0.0015284887688692852,0.988,241,0.9897363796133568,0.9906068601583113
iran_military,AAPL,vol_z,post,-0.3016976075346775,1.0677313473598224e-30,241,5.617909550723988e-30,6.264701225510941e-28
iran_military,AAPL,dvol_z,pre,0.000868412906882134,0.9728,241,0.9767985907222548,0.9788102383053839
iran_military,AAPL,dvol_z,post,-0.30169016158330636,1.0990703904405159e-30,241,5.765062477464056e-30,6.264701225510941e-28
iran_military,AAPL,signed_vol_tick,pre,757541.663900415,4.7222202499415525e-08,241,1.4789371112454312e-07,6.729163856166712e-07
iran_military,AAPL,signed_vol_tick,post,-155565.95020746888,0.014,241,0.02295302013422819,0.033389121338912135
iran_military,AAPL,OFI_bvc,pre,0.037451089255963445,4.130934307935637e-09,241,1.3636868082181351e-08,7.358226736010353e-08
iran_military,AAPL,OFI_bvc,post,-0.008586025431170938,0.0796,241,0.11390460251046026,0.1451904
iran_military,AAPL,vpin_z,pre,0.06226618520872098,0.398,241,0.46016227180527386,0.4991419141914192
iran_military,AAPL,vpin_z,post,0.4146171729543654,8.04584333524078e-05,241,0.00019515449791860612,0.0004679725205191066
iran_military,META,logret,pre,-9.35719452688016e-05,7.008407917006771e-07,234,1.9808888492696822e-06,6.851229938819848e-06
iran_military,META,logret,post,-0.0001505159457829488,0.1984,234,0.2543208395802099,0.2960418848167539
iran_military,META,vol_z,pre,-0.18166167203656666,1.6905040945702258e-07,234,5.001318342067624e-07,1.966504763071487e-06
iran_military,META,vol_z,post,-0.033458422647419175,0.5268,234,0.583437823834197,0.6164184615384616
iran_military,META,dvol_z,pre,-0.18454048169692394,8.817207889227534e-08,234,2.692397409031979e-07,1.1553582751401595e-06
iran_military,META,dvol_z,post,-0.03752529159056168,0.4708,234,0.52965,0.56496
iran_military,META,signed_vol_tick,pre,80552.89316239316,0.0008,234,0.001624703087885986,0.002923076923076923
iran_military,META,signed_vol_tick,post,-62853.717948717946,0.0804,234,0.11485714285714287,0.1461818181818182
iran_military,META,OFI_bvc,pre,-0.019006450090189708,7.63958787137615e-05,234,0.00018556385312575594,0.0004466220601727596
iran_military,META,OFI_bvc,post,-0.007822380416120114,0.284,234,0.347381974248927,0.39101449275362316
iran_military,META,vpin_z,pre,-0.23058619027406785,0.0024,234,0.004549889135254988,0.007685393258426966
iran_military,META,vpin_z,post,-0.009267627645922616,0.9348,234,0.9447446808510639,0.9497967914438503
iran_military,XOM,logret,pre,-3.9869288769142855e-05,0.0272,263,0.041864986498649864,0.056999999999999995
iran_military,XOM,logret,post,0.0004764529728240662,7.227319800449404e-06,263,1.910157165188328e-05,5.5669895760218386e-05
iran_military,XOM,vol_z,pre,0.05277055144143723,0.3212,263,0.38652498240675576,0.43027967097532316
iran_military,XOM,vol_z,post,0.10166107376250978,0.2396,263,0.3010404114621602,0.34531479140328697
iran_military,XOM,dvol_z,pre,0.053158850037495785,0.3224,263,0.3876962025316456,0.43138028169014087
iran_military,XOM,dvol_z,post,0.10180437616509895,0.2332,263,0.2938629329403095,0.33779923761118175
iran_military,XOM,signed_vol_tick,pre,214323.59315589353,0.0004,263,0.0008571428571428572,0.0016703296703296704
iran_military,XOM,signed_vol_tick,post,430379.26235741447,0.0004,263,0.0008571428571428572,0.0016703296703296704
iran_military,XOM,OFI_bvc,pre,0.02270956849640015,0.0012,263,0.0023889800353631948,0.004248724327902659
iran_military,XOM,OFI_bvc,post,0.02655621199381976,1.2221137841514679e-05,263,3.190556596792381e-05,9.046816324238138e-05
iran_military,XOM,vpin_z,pre,-0.37516865582513453,5.772087449515206e-09,263,1.883639224937214e-08,9.676734841834315e-08
iran_military,XOM,vpin_z,post,-0.4236464572476011,5.097583876239326e-06,263,1.355656054178732e-05,3.986624983645961e-05
iran_military,CVX,logret,pre,-9.936417031251464e-06,0.5424,274,0.596082262210797,0.6271156186612576
iran_military,CVX,logret,post,0.0002959401104173941,0.0008,274,0.001624703087885986,0.002923076923076923
iran_military,CVX,vol_z,pre,0.16259334707118434,0.0096,274,0.01644889779559118,0.02510091743119266
iran_military,CVX,vol_z,post,-0.03635373260064246,0.5932,274,0.6444548919949173,0.6735537848605577
